"","listing_id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","list.demand"
"137","10298652","Spacious & modern 3br/2ba with deck","37627650","Kesar",,"Nob Hill",37.7928119377642,-122.420604183049,"Entire home/apt",2250,2,0,"",0,1,0,365
"138","10299331","Colby's Portal","6563606","Nathan",,"Excelsior",37.7321805197417,-122.411038473547,"Entire home/apt",79,1,0,"",0,1,0,365
"139","1029954","Private room with king-size bed","856810","Zach",,"Mission",37.7598613280504,-122.420457728664,"Private room",140,3,2,"2014-10-17",0.05,1,365,0
"140","1030032","Zazie","5667378","Xiao",,"Haight Ashbury",37.7662135698636,-122.449063036713,"Private room",89,1,0,"",0,2,364,1
"141","1030703","Lovely and spacious Noe Valley home","5672005","Jean-Claude",,"Noe Valley",37.7523288252243,-122.428341010238,"Entire home/apt",400,4,11,"2016-10-25",0.25,1,271,94
"142","10311667","San Francisco Super Bowl Pad Sunset","10333374","Gregg",,"Parkside",37.7424243237519,-122.471614023341,"Entire home/apt",325,3,0,"",0,1,0,365
"143","10317012","Sunny Penthouse + 2 Decks and Views","5467747","Diane",,"Noe Valley",37.7562664408971,-122.439276293666,"Entire home/apt",190,1,1,"2016-01-16",0.07,2,274,91
"144","10317593","Gorgeous, Modern Spacious Victorian","50696929","Brooke",,"Pacific Heights",37.7889275557069,-122.43914863128,"Entire home/apt",445,3,0,"",0,2,0,365
"145","10318317","Cozy 1bed apt. In Union sq","4451276","Bobby",,"Downtown/Civic Center",37.7851465448046,-122.416281975269,"Entire home/apt",600,3,0,"",0,1,358,7
"146","1031899","Fabulous Charming & Sunny S.F Apt.","5678214","Glenn",,"Noe Valley",37.7483288755904,-122.426207661974,"Entire home/apt",117,30,5,"2016-03-24",0.12,1,360,5
"147","10321776","Modern Unit for Ocean and Park lovers with parking","23723104","Arpita",,"Parkside",37.737510057099,-122.506356481685,"Entire home/apt",120,1,66,"2017-02-26",5.77,2,229,136
"148","10328918","Private in Law  near Beach and Park","5215966","Melissa",,"Outer Sunset",37.7542505497474,-122.493923485047,"Entire home/apt",149,1,10,"2017-01-01",1.03,6,365,0
"149","10329961","Diamond heights double bed 1 room","53157375","Ronan",,"Diamond Heights",37.7441740063762,-122.439978806273,"Private room",90,1,1,"2016-02-04",0.08,1,363,2
"150","1033012","Sunny Apartment in the Mission","873316","Jamie",,"Castro/Upper Market",37.7627865828726,-122.429027522627,"Private room",79,3,166,"2017-02-28",3.51,1,13,352
"151","10331504","PRIME Hayes Valley Location; 1/1;","53166098","Haley",,"Western Addition",37.7759571804536,-122.425258733699,"Entire home/apt",1099,5,0,"",0,1,0,365
"152","10333567","K's Place","53177503","Catherine",,"West of Twin Peaks",37.7239806915019,-122.456367746174,"Private room",83,2,4,"2017-01-21",0.88,1,293,72
"153","10336332","San Francisco Studio near Opera Hse","7054805","Eric",,"Downtown/Civic Center",37.7785124102796,-122.422375088242,"Entire home/apt",189,2,8,"2016-07-21",0.58,7,365,0
"154","1033754","Sunset home near beach and park","5689322","Jennifer & Eric",,"Outer Sunset",37.7597451675314,-122.505437782961,"Entire home/apt",300,1,98,"2017-02-20",2.06,1,54,311
"155","10339640","Single bedroom w bathroom & laundry","53211161","James",,"Parkside",37.7405999796659,-122.487985145807,"Private room",75,1,4,"2016-08-07",0.31,1,0,365
"156","10342010","True San Francisco 2 Bedroom Apartm","5434049","Madeline",,"Downtown/Civic Center",37.7889889303218,-122.410722112233,"Entire home/apt",800,1,0,"",0,1,0,365
